Date,Adj Close,Close,High,Low,Open,Volume,Positive,Negative,Neutral,Compound,Sentiment,Diff_Close,Was_A_Buy_Day
2022-11-21,15.30195332,15.31700039,15.47700024,15.07999992,15.14700031,404739000,0.08138914027149322,0.024956259426847663,0.8936561085972851,0.21714811463046757,Positive,,0
2022-11-22,16.0222435,16.03800011,16.05800056,15.12199974,15.32800007,472866000,0.08608821453775582,0.022844036697247706,0.891059280169372,0.20880952717007764,Positive,0.7209997199999982,1
2022-11-23,16.50276947,16.5189991,16.52700043,16.04800034,16.09799957,427241000,0.08510813076278291,0.01971081307627829,0.8951659681475272,0.24209362950544844,Positive,0.4809989899999998,1
2022-11-25,16.25401878,16.27000046,16.48699951,16.17200089,16.31800079,167934000,0.08752429667519182,0.018607416879795398,0.8938554987212276,0.2325613810741688,Positive,-0.24899863999999994,0
2022-11-28,15.81145096,15.82699966,16.35700035,15.72500038,16.02599907,303741000,0.0919914089347079,0.021970790378006873,0.8860257731958764,0.22861701030927836,Positive,-0.4430007999999983,0
2022-11-29,15.62363434,15.63899994,15.93200016,15.52000046,15.82699966,298384000,0.08781879762912785,0.021546147332768842,0.8906223539373412,0.20820753598645217,Positive,-0.18799972000000054,0
2022-11-30,16.91069984,16.92300034,16.93000031,15.59700012,15.69699955,565298000,0.08093787878787878,0.023797727272727272,0.8952681818181818,0.17723045454545455,Positive,1.2840004000000018,1
2022-12-01,17.12254715,17.13500023,17.26499939,16.63500023,16.99900055,470977000,0.08874388753056235,0.01862836185819071,0.8926253056234719,0.23812646699266504,Positive,0.21199988999999775,1
2022-12-02,16.86373138,16.87599945,16.93300056,16.44499969,16.6590004,371389000,0.08152204502814259,0.017377579737335835,0.9010975609756098,0.24588724202626638,Positive,-0.25900078000000093,0
2022-12-05,16.597929,16.61000061,16.99500084,16.47200012,16.67900085,352255000,0.07958466722830665,0.019939342881213143,0.9004658803706824,0.18447413647851726,Positive,-0.2659988399999982,0
2022-12-06,15.9753809,15.98700047,16.57299995,15.81900024,16.53000069,352694000,0.08335943060498222,0.020123131672597865,0.896499644128114,0.20469893238434167,Positive,-0.6230001400000003,0
2022-12-07,16.1082859,16.12000084,16.18600082,15.66699982,15.77200031,372388000,0.08359776536312849,0.024506284916201115,0.891877094972067,0.1999826815642458,Positive,0.13300036999999953,1
2022-12-08,17.15652275,17.16900063,17.17900085,15.95899963,16.27300072,515456000,0.08368491680085884,0.02510359634997316,0.8912109500805153,0.20147321524422973,Positive,1.0489997899999999,1
2022-12-09,16.98864365,17.00099945,17.58300018,16.97500038,17.15999985,465338000,0.08774929577464788,0.02715549295774648,0.885089014084507,0.22109076056338028,Positive,-0.16800118000000097,0
2022-12-12,17.52225685,17.53499985,17.53800011,16.79700089,17.03700066,457328000,0.0854733606557377,0.02016120218579235,0.8943633879781421,0.20353374316939893,Positive,0.5340004,1
2022-12-13,18.0588665,18.0720005,18.79000092,17.71100044,18.53100014,656589000,0.0892626459143969,0.027169909208819714,0.8835499351491569,0.2072273022049287,Positive,0.5370006500000031,1
2022-12-14,17.6611557,17.67399979,18.25200081,17.42000008,17.98699951,496888000,0.0931703492516037,0.02229793300071276,0.884528153955809,0.2503885245901639,Positive,-0.3980007100000016,0
2022-12-15,16.9396801,16.95199966,17.31999969,16.70000076,17.14599991,478542000,0.09202286773794809,0.024830037082818293,0.8831508034610631,0.2314309023485785,Positive,-0.7220001300000014,0
2022-12-16,16.55895424,16.57099915,17.04100037,16.40999985,16.86400032,478232000,0.08802446483180427,0.028824923547400613,0.883131498470948,0.20707729357798166,Positive,-0.3810005099999998,0
2022-12-19,16.24218559,16.25399971,16.60899925,16.14500046,16.5720005,354039000,0.09376448736998513,0.026399702823179792,0.8798320950965824,0.21840126300148588,Positive,-0.31699944,0
2022-12-20,16.07331085,16.08499908,16.30999947,15.85200024,16.06399918,403260000,0.09607527624309392,0.02449378453038674,0.8794191988950275,0.22973770718232048,Positive,-0.16900062999999932,0
2022-12-21,16.48900604,16.50099945,16.62700081,16.10199928,16.11400032,325025000,0.09255973597359736,0.024988778877887786,0.8824455445544555,0.23430765676567658,Positive,0.416000369999999,1
2022-12-22,15.32785034,15.33899975,16.13800049,14.88199997,16.09399986,565045000,0.09070674784373414,0.034126839167935054,0.87517199391172,0.18433896499238966,Positive,-1.161999699999999,0
2022-12-23,15.19494915,15.20600033,15.33899975,14.88300037,15.1960001,349326000,0.10353654292343388,0.0287830626450116,0.8676513921113689,0.2711291763341067,Positive,-0.1329994199999991,0
2022-12-27,14.11073685,14.12100029,15.10000038,14.05599976,15.07400036,464902000,0.08340612336785232,0.027164790634849167,0.8894205312922108,0.2013781179648807,Positive,-1.0850000400000006,0
2022-12-28,14.0257988,14.03600025,14.26200008,13.88399982,13.92700005,351066000,0.08320525291828794,0.025625972762645912,0.8911624513618677,0.212603453307393,Positive,-0.08500003999999883,0
2022-12-29,14.59238529,14.60299969,14.68299961,14.22700024,14.40200043,354923000,0.08212025685931115,0.02294454173963806,0.8949171044950379,0.19106847635726795,Positive,0.56699944,1
2022-12-30,14.60337925,14.61400032,14.62899971,14.2329998,14.33399963,310490000,0.0915789129011133,0.023447282252783235,0.8849600523903078,0.23391119842829078,Positive,0.011000629999999845,1
2023-01-03,14.30459499,14.31499958,14.99600029,14.09599972,14.85099983,401277000,0.08168677635588056,0.02028214503351615,0.8980341255332115,0.18053717245581963,Positive,-0.2990007400000003,0
2023-01-04,14.73827839,14.7489996,14.85299969,14.24100018,14.56700039,431324000,0.08753836398224477,0.022976537729866835,0.8894793912492074,0.18989353202282816,Positive,0.43400001999999915,1
2023-01-05,14.25463295,14.26500034,14.56400013,14.14799976,14.49100018,389168000,0.09008592200925315,0.024368142762723068,0.8855472571050893,0.20283654990085923,Positive,-0.48399925999999915,0
2023-01-06,14.84820175,14.85900021,15.01000023,14.0340004,14.47399998,405044000,0.08932998661311914,0.0237095046854083,0.8869531459170013,0.21283654618473896,Positive,0.5939998699999993,1
2023-01-09,15.616642,15.62800026,16.05599976,15.14099979,15.2840004,504231000,0.091380704041721,0.021790091264667535,0.8868213820078227,0.20092979139504563,Positive,0.7690000500000007,1
2023-01-10,15.8974371,15.9090004,15.96199989,15.47200012,15.50699997,384101000,0.09109516256938938,0.02167248215701824,0.8872172878667723,0.21417731958762887,Positive,0.28100013999999973,1
2023-01-11,15.98936844,16.00099945,16.02799988,15.56299973,15.84000015,353285000,0.08933186490455212,0.02673568281938326,0.8839177679882525,0.21393729809104262,Positive,0.0919990499999983,1
2023-01-12,16.49899864,16.51099968,16.63699913,15.49199963,16.10000038,551409000,0.08760628930817611,0.02469685534591195,0.8876842767295596,0.19522371069182393,Positive,0.5100002300000028,1
